question,worker,answer
354,1,1
354,5,0
354,15,1
354,23,1
354,27,2
354,32,1
354,52,1
354,55,2
354,60,0
354,62,2
705,1,2
705,13,1
705,20,0
705,22,0
705,29,1
705,30,3
705,34,0
705,58,3
705,60,2
705,61,2
445,1,0
445,3,1
445,10,0
445,13,2
445,16,0
445,20,1
445,25,3
445,37,2
445,43,0
445,45,0
310,1,1
310,13,1
310,22,2
310,23,1
310,27,1
310,34,2
310,36,1
310,43,0
310,45,1
310,63,1
317,1,3
317,2,0
317,3,3
317,10,1
317,13,3
317,16,3
317,22,3
317,34,3
317,37,2
317,62,3
65,1,3
65,3,0
65,5,1
65,26,3
65,34,3
65,36,3
65,39,0
65,40,3
65,41,3
65,55,2
202,1,2
202,10,2
202,12,1
202,22,1
202,23,2
202,31,0
202,34,2
202,39,2
202,43,2
202,51,2
555,1,2
555,16,2
555,20,3
555,22,2
555,23,0
555,34,2
555,35,2
555,36,2
555,40,2
555,63,3
263,1,0
263,13,0
263,16,3
263,20,0
263,37,0
263,40,0
263,41,0
263,43,3
263,62,0
263,81,0
113,1,3
113,2,1
113,3,3
113,12,3
113,20,1
113,23,3
113,37,0
113,52,0
113,54,0
113,73,3
142,1,2
142,9,2
142,10,2
142,16,0
142,20,2
142,21,2
142,22,2
142,37,1
142,52,2
142,86,2
530,1,3
530,3,3
530,9,3
530,13,2
530,15,3
530,16,3
530,22,3
530,37,3
530,53,3
530,55,3
88,1,1
88,9,1
88,10,1
88,16,0
88,19,2
88,21,1
88,37,0
88,42,1
88,51,1
88,55,3
365,1,1
365,6,1
365,9,0
365,16,1
365,22,3
365,35,2
365,40,1
365,43,1
365,44,1
365,55,1
615,1,0
615,8,2
615,13,0
615,34,0
615,36,0
615,37,0
615,42,1
615,43,3
615,47,0
615,62,0
581,1,2
581,13,2
581,19,2
581,37,2
581,39,1
581,41,3
581,43,2
581,47,0
581,56,2
581,63,0
84,1,0
84,14,3
84,16,0
84,17,1
84,20,3
84,22,0
84,25,1
84,35,0
84,40,0
84,56,0
116,1,3
116,12,1
116,13,1
116,14,2
116,17,0
116,23,0
116,35,2
116,40,0
116,47,3
116,61,3
380,1,0
380,3,0
380,9,0
380,13,0
380,21,0
380,37,0
380,41,0
380,43,2
380,56,0
380,63,2
718,1,2
718,9,1
718,12,1
718,13,2
718,16,2
718,22,0
718,25,3
718,31,1
718,34,2
718,58,2
106,1,3
106,3,1
106,9,1
106,37,1
106,42,2
106,43,3
106,54,2
106,55,0
106,56,3
106,61,2
242,1,2
242,3,2
242,8,0
242,13,2
242,31,1
242,34,3
242,35,2
242,37,2
242,40,2
242,43,2
229,1,0
229,9,2
229,13,2
229,23,1
229,34,3
229,37,3
229,40,0
229,43,0
229,51,0
229,55,0
270,1,3
270,11,2
270,16,3
270,20,3
270,35,2
270,39,3
270,40,3
270,69,3
270,81,3
270,85,1
368,1,0
368,3,3
368,9,1
368,13,0
368,19,1
368,24,1
368,31,3
368,34,0
368,40,0
368,47,2
147,1,3
147,2,0
147,3,1
147,5,3
147,37,3
147,40,0
147,47,2
147,61,3
147,76,1
147,77,1
185,1,3
185,12,3
185,20,3
185,21,3
185,25,1
185,31,1
185,35,3
185,43,0
185,55,0
185,60,2
81,1,1
81,12,0
81,15,1
81,31,1
81,37,1
81,39,0
81,41,3
81,67,2
81,77,1
81,85,1
335,1,0
335,9,2
335,16,3
335,20,3
335,21,3
335,28,0
335,35,0
335,36,0
335,37,0
335,61,0
563,1,0
563,6,1
563,10,0
563,14,0
563,16,0
563,25,1
563,34,0
563,45,0
563,47,0
563,61,0
13,1,3
13,2,0
13,5,3
13,9,1
13,10,3
13,12,0
13,13,3
13,14,2
13,25,1
13,43,3
369,1,2
369,5,0
369,14,3
369,16,0
369,23,3
369,34,2
369,35,0
369,37,2
369,85,1
369,88,0
579,1,2
579,7,1
579,9,0
579,12,0
579,13,2
579,17,2
579,20,3
579,25,3
579,51,0
579,53,2
128,1,3
128,2,3
128,3,3
128,12,0
128,13,2
128,20,0
128,28,3
128,35,2
128,44,3
128,47,2
34,1,0
34,3,0
34,13,3
34,14,2
34,15,2
34,16,0
34,24,0
34,31,0
34,35,0
34,53,0
456,1,2
456,4,2
456,8,2
456,15,2
456,21,2
456,34,2
456,40,0
456,54,3
456,60,1
456,61,2
272,1,3
272,16,3
272,28,3
272,29,3
272,34,3
272,39,3
272,42,3
272,48,3
272,58,3
272,88,3
451,1,3
451,13,3
451,16,3
451,31,3
451,35,3
451,36,2
451,37,3
451,43,3
451,62,3
451,94,3
275,1,1
275,3,3
275,16,1
275,31,2
275,32,1
275,34,2
275,35,3
275,43,2
275,49,1
275,69,3
285,1,0
285,16,0
285,25,3
285,27,0
285,50,0
285,56,0
285,57,2
285,63,0
285,70,3
285,85,3
126,1,2
126,9,2
126,11,1
126,16,2
126,19,1
126,22,1
126,39,2
126,47,3
126,55,3
126,66,2
518,1,2
518,2,2
518,9,2
518,11,2
518,13,2
518,16,2
518,19,3
518,31,2
518,53,2
518,65,2
124,1,2
124,9,2
124,19,2
124,21,2
124,23,2
124,25,0
124,35,2
124,36,3
124,40,2
124,56,0
632,1,3
632,3,3
632,5,3
632,9,0
632,13,3
632,29,2
632,37,2
632,43,0
632,65,3
632,105,3
211,1,0
211,3,0
211,13,0
211,19,3
211,37,3
211,40,2
211,44,0
211,54,0
211,57,3
211,89,3
448,1,2
448,3,1
448,13,2
448,17,2
448,20,3
448,35,2
448,37,3
448,43,2
448,50,2
448,58,2
57,1,3
57,5,3
57,8,3
57,37,3
57,43,3
57,45,3
57,47,1
57,49,3
57,52,1
57,80,3
155,1,2
155,2,2
155,3,0
155,4,1
155,10,0
155,15,2
155,22,3
155,23,2
155,40,2
155,61,3
704,1,3
704,16,3
704,21,3
704,28,2
704,34,2
704,35,3
704,51,3
704,54,3
704,73,3
704,107,3
97,1,1
97,10,1
97,15,3
97,17,1
97,31,0
97,37,2
97,39,0
97,43,1
97,62,0
97,90,0
388,1,1
388,2,3
388,4,1
388,6,0
388,14,2
388,16,1
388,40,1
388,41,1
388,50,0
388,51,2
259,1,2
259,7,0
259,9,1
259,13,0
259,34,2
259,37,0
259,56,2
259,58,1
259,62,1
259,98,0
347,1,1
347,3,1
347,8,0
347,10,1
347,12,3
347,34,1
347,44,1
347,47,1
347,50,1
347,61,1
301,1,3
301,3,2
301,5,3
301,10,2
301,13,3
301,31,0
301,35,3
301,39,0
301,55,1
301,56,3
31,1,2
31,9,1
31,10,0
31,13,0
31,15,2
31,20,1
31,31,0
31,35,0
31,43,0
31,48,2
345,1,1
345,13,0
345,16,1
345,23,1
345,25,1
345,34,1
345,37,1
345,54,2
345,58,3
345,97,1
415,1,2
415,6,3
415,22,2
415,31,1
415,35,3
415,41,0
415,58,1
415,62,1
415,63,1
415,69,2
216,1,0
216,3,0
216,8,1
216,13,1
216,15,0
216,16,0
216,26,0
216,31,1
216,49,0
216,70,0
1,1,3
1,2,1
1,3,2
1,4,3
1,5,3
1,6,2
1,7,2
1,8,2
1,9,2
1,10,1
100,1,0
100,3,2
100,4,2
100,10,2
100,13,0
100,26,0
100,34,0
100,49,0
100,56,0
100,61,0
398,1,1
398,10,0
398,13,3
398,25,1
398,35,1
398,40,1
398,47,3
398,51,1
398,53,1
398,91,3
611,1,3
611,11,3
611,13,1
611,17,1
611,21,1
611,22,3
611,34,2
611,37,1
611,43,2
611,56,2
452,1,2
452,2,1
452,9,2
452,16,0
452,25,3
452,28,3
452,29,0
452,31,3
452,37,2
452,56,2
497,1,3
497,4,3
497,5,0
497,21,0
497,23,1
497,35,3
497,43,3
497,53,3
497,54,1
497,55,2
2,1,2
2,3,2
2,9,2
2,11,3
2,12,2
2,13,2
2,14,2
2,15,2
2,16,0
2,17,2
208,1,1
208,3,1
208,8,0
208,9,1
208,28,0
208,34,1
208,44,3
208,47,1
208,53,1
208,65,2
250,1,3
250,3,0
250,29,0
250,35,0
250,39,3
250,40,3
250,43,0
250,73,3
250,83,1
250,90,3
197,1,3
197,9,0
197,11,3
197,17,2
197,23,3
197,32,3
197,37,2
197,56,3
197,90,3
197,91,3
714,1,1
714,11,1
714,16,0
714,20,1
714,22,2
714,28,0
714,31,3
714,35,1
714,43,1
714,47,2
617,1,2
617,10,3
617,19,2
617,21,1
617,31,2
617,34,2
617,35,2
617,39,2
617,43,2
617,58,3
343,1,1
343,3,1
343,16,3
343,20,2
343,21,2
343,28,1
343,31,1
343,35,0
343,61,1
343,66,1
552,1,0
552,9,0
552,12,0
552,16,0
552,22,0
552,23,3
552,31,1
552,39,3
552,45,0
552,55,3
162,1,1
162,9,1
162,16,1
162,27,1
162,29,0
162,31,0
162,42,0
162,48,1
162,58,3
162,85,2
650,1,2
650,2,0
650,3,2
650,9,2
650,16,3
650,17,1
650,20,3
650,35,2
650,40,3
650,43,3
505,1,1
505,12,1
505,17,1
505,20,1
505,32,1
505,39,1
505,40,1
505,52,1
505,60,3
505,96,3
322,1,3
322,3,2
322,9,3
322,17,3
322,20,2
322,41,2
322,44,2
322,45,3
322,61,3
322,87,1
366,1,3
366,4,3
366,16,3
366,21,3
366,34,3
366,35,3
366,39,1
366,41,3
366,43,0
366,51,3
71,1,2
71,13,0
71,15,2
71,34,2
71,35,2
71,47,2
71,51,2
71,54,2
71,55,1
71,66,2
628,1,0
628,8,0
628,13,2
628,16,0
628,20,2
628,29,0
628,34,0
628,35,0
628,53,0
628,66,0
292,1,2
292,10,2
292,13,2
292,19,3
292,21,3
292,28,2
292,35,2
292,52,1
292,73,2
292,99,1
653,1,3
653,11,3
653,13,1
653,21,3
653,22,3
653,25,2
653,29,0
653,55,0
653,59,3
653,61,3
359,1,0
359,9,2
359,16,2
359,22,0
359,25,2
359,34,1
