question,worker,answer
263,1,0
263,13,2
263,16,0
263,20,0
263,37,0
263,40,0
263,41,3
263,43,2
263,62,0
263,81,0
270,1,3
270,11,0
270,16,3
270,20,3
270,35,3
270,39,2
270,40,3
270,69,2
270,81,1
270,85,2
311,1,3
311,9,3
311,15,1
311,28,3
311,34,3
311,35,0
311,37,3
311,58,0
311,87,0
311,101,3
202,1,2
202,10,0
202,12,2
202,22,2
202,23,3
202,31,2
202,34,2
202,39,1
202,43,2
202,51,2
250,1,3
250,3,0
250,29,3
250,35,3
250,39,3
250,40,0
250,43,1
250,73,3
250,83,3
250,90,3
124,1,2
124,9,2
124,19,3
124,21,3
124,23,0
124,25,2
124,35,3
124,36,2
124,40,2
124,56,2
213,1,1
213,14,1
213,15,3
213,16,1
213,17,1
213,23,1
213,31,1
213,34,1
213,35,1
213,40,1
57,1,3
57,5,3
57,8,2
57,37,1
57,43,1
57,45,3
57,47,3
57,49,2
57,52,3
57,80,3
142,1,2
142,9,0
142,10,2
142,16,2
142,20,2
142,21,1
142,22,2
142,37,2
142,52,0
142,86,2
220,1,0
220,3,0
220,5,1
220,21,0
220,23,1
220,44,0
220,47,0
220,57,1
220,61,0
220,76,2
268,1,2
268,5,2
268,9,1
268,10,2
268,21,2
268,23,2
268,27,3
268,37,2
268,40,3
268,55,3
283,1,0
283,2,2
283,13,2
283,17,2
283,21,0
283,31,0
283,41,1
283,55,1
283,76,0
283,90,0
370,1,3
370,9,0
370,16,3
370,20,3
370,23,3
370,35,3
370,37,3
370,53,3
370,58,3
370,66,3
489,1,2
489,13,0
489,31,2
489,39,2
489,41,3
489,47,2
489,50,3
489,56,2
489,63,3
489,80,2
128,1,3
128,2,3
128,3,0
128,12,3
128,13,3
128,20,2
128,28,3
128,35,3
128,44,3
128,47,3
229,1,0
229,9,3
229,13,0
229,23,0
229,34,3
229,37,0
229,40,1
229,43,0
229,51,2
229,55,0
655,1,0
655,2,0
655,3,0
655,11,0
655,13,0
655,16,3
655,31,1
655,40,0
655,55,3
655,56,0
383,1,1
383,10,2
383,34,1
383,39,1
383,40,1
383,44,1
383,47,1
383,48,1
383,79,3
383,102,1
403,1,1
403,3,0
403,13,1
403,16,2
403,22,1
403,35,3
403,40,1
403,43,1
403,56,1
403,61,1
377,1,2
377,13,2
377,17,3
377,20,2
377,28,2
377,29,2
377,37,0
377,42,2
377,55,0
377,60,0
242,1,2
242,3,3
242,8,2
242,13,2
242,31,2
242,34,0
242,35,2
242,37,2
242,40,3
242,43,2
216,1,0
216,3,0
216,8,0
216,13,0
216,15,0
216,16,1
216,26,3
216,31,0
216,49,1
216,70,0
380,1,0
380,3,0
380,9,0
380,13,3
380,21,3
380,37,0
380,41,0
380,43,3
380,56,0
380,63,2
323,1,2
323,3,2
323,12,1
323,25,2
323,27,2
323,31,2
323,34,0
323,37,3
323,39,1
323,40,1
722,1,1
722,8,0
722,17,1
722,20,1
722,22,1
722,23,3
722,28,1
722,31,1
722,41,2
722,55,1
628,1,0
628,8,0
628,13,0
628,16,0
628,20,1
628,29,0
628,34,2
628,35,3
628,53,0
628,66,0
276,1,2
276,5,2
276,9,3
276,20,1
276,22,3
276,23,2
276,24,2
276,31,0
276,37,2
276,50,2
579,1,2
579,7,3
579,9,2
579,12,0
579,13,2
579,17,2
579,20,2
579,25,3
579,51,0
579,53,2
730,1,2
730,3,3
730,9,3
730,11,2
730,14,0
730,20,2
730,25,2
730,34,1
730,53,2
730,73,2
594,1,0
594,3,0
594,7,0
594,10,0
594,16,0
594,22,2
594,29,0
594,55,0
594,60,2
594,63,2
88,1,1
88,9,1
88,10,1
88,16,1
88,19,1
88,21,1
88,37,1
88,42,1
88,51,1
88,55,1
563,1,0
563,6,0
563,10,0
563,14,0
563,16,0
563,25,3
563,34,3
563,45,0
563,47,1
563,61,0
615,1,0
615,8,0
615,13,3
615,34,0
615,36,3
615,37,0
615,42,0
615,43,3
615,47,0
615,62,3
259,1,2
259,7,1
259,9,3
259,13,2
259,34,1
259,37,1
259,56,2
259,58,2
259,62,1
259,98,2
185,1,3
185,12,3
185,20,0
185,21,1
185,25,3
185,31,2
185,35,3
185,43,3
185,55,3
185,60,3
632,1,3
632,3,2
632,5,2
632,9,3
632,13,3
632,29,3
632,37,3
632,43,0
632,65,3
632,105,3
369,1,2
369,5,0
369,14,0
369,16,2
369,23,2
369,34,0
369,35,2
369,37,2
369,85,2
369,88,2
8,1,0
8,3,2
8,5,0
8,20,0
8,23,0
8,40,0
8,44,0
8,45,0
8,46,0
8,47,0
459,1,2
459,6,2
459,12,3
459,13,2
459,15,3
459,22,2
459,23,2
459,34,2
459,55,2
459,56,2
183,1,3
183,25,3
183,29,3
183,31,1
183,33,0
183,34,1
183,37,0
183,55,3
183,75,3
183,95,0
402,1,1
402,2,1
402,9,2
402,10,1
402,13,1
402,15,2
402,18,1
402,30,1
402,41,2
402,55,2
682,1,1
682,15,1
682,21,1
682,22,1
682,25,1
682,28,1
682,30,1
682,31,0
682,50,0
682,58,1
75,1,3
75,5,3
75,15,2
75,17,3
75,23,3
75,34,2
75,40,2
75,43,3
75,52,3
75,56,2
419,1,3
419,9,1
419,21,2
419,34,2
419,35,3
419,43,3
419,44,2
419,49,2
419,54,3
419,69,3
110,1,2
110,3,2
110,9,2
110,21,2
110,22,2
110,35,1
110,45,2
110,55,2
110,56,0
110,61,3
73,1,1
73,3,1
73,9,1
73,13,2
73,16,1
73,20,1
73,35,3
73,37,2
73,40,1
73,53,1
530,1,3
530,3,3
530,9,3
530,13,0
530,15,1
530,16,3
530,22,3
530,37,3
530,53,3
530,55,3
42,1,0
42,10,0
42,11,1
42,12,1
42,16,1
42,35,0
42,40,2
42,43,2
42,58,0
42,65,0
574,1,0
574,14,0
574,20,0
574,21,0
574,25,0
574,27,0
574,28,0
574,30,0
574,43,0
574,56,0
524,1,3
524,10,3
524,14,3
524,21,3
524,30,0
524,35,3
524,40,3
524,54,3
524,66,0
524,69,3
593,1,1
593,3,2
593,9,2
593,15,1
593,22,3
593,37,2
593,39,0
593,41,1
593,53,1
593,80,1
529,1,2
529,10,3
529,17,2
529,20,2
529,31,2
529,40,1
529,43,1
529,53,2
529,55,1
529,97,2
581,1,2
581,13,2
581,19,1
581,37,2
581,39,1
581,41,0
581,43,2
581,47,1
581,56,0
581,63,2
451,1,3
451,13,3
451,16,3
451,31,3
451,35,3
451,36,0
451,37,3
451,43,1
451,62,1
451,94,3
34,1,0
34,3,0
34,13,0
34,14,0
34,15,1
34,16,0
34,24,0
34,31,2
34,35,0
34,53,0
718,1,2
718,9,2
718,12,0
718,13,2
718,16,2
718,22,2
718,25,1
718,31,2
718,34,1
718,58,2
97,1,1
97,10,1
97,15,1
97,17,2
97,31,1
97,37,1
97,39,1
97,43,1
97,62,1
97,90,2
482,1,3
482,5,3
482,10,3
482,16,3
482,35,3
482,39,3
482,40,2
482,43,1
482,54,1
482,88,3
100,1,0
100,3,0
100,4,0
100,10,0
100,13,2
100,26,0
100,34,3
100,49,2
100,56,3
100,61,3
211,1,0
211,3,0
211,13,0
211,19,0
211,37,0
211,40,0
211,44,0
211,54,0
211,57,0
211,89,1
679,1,0
679,6,0
679,10,0
679,16,0
679,19,2
679,34,0
679,37,1
679,59,0
679,61,0
679,66,1
222,1,2
222,9,2
222,10,2
222,13,2
222,16,2
222,20,2
222,34,2
222,41,3
222,54,1
222,72,2
343,1,1
343,3,1
343,16,1
343,20,0
343,21,1
343,28,1
343,31,2
343,35,1
343,61,1
343,66,1
65,1,3
65,3,3
65,5,2
65,26,3
65,34,3
65,36,0
65,39,3
65,40,3
65,41,0
65,55,1
433,1,0
433,5,0
433,9,0
433,15,0
433,16,1
433,25,0
433,28,0
433,43,0
433,52,0
433,58,0
148,1,2
148,3,2
148,9,2
148,20,3
148,22,2
148,29,2
148,35,1
148,40,2
148,43,2
148,51,2
308,1,1
308,4,1
308,6,1
308,13,1
308,16,1
308,23,2
308,31,1
308,50,1
308,72,1
308,90,1
365,1,1
365,6,0
365,9,1
365,16,1
365,22,1
365,35,1
