question,worker,answer
227,A1VW9W0DWXCPYE,3
227,A3NU1SQPI1NXY4,3
227,AKBP92VUQ7G3,3
227,ATQWZNGQCN1RA,1
227,A2V3P1XE33NYC3,2
227,A2UFD1I8ZO1V4G,0
227,AD317NO9623GZ,3
227,A3E157ZN8XPUKJ,3
227,AM2W23THD4CI7,3
493,A1VW9W0DWXCPYE,0
493,A3NU1SQPI1NXY4,1
493,AKBP92VUQ7G3,0
493,ATQWZNGQCN1RA,0
493,A2V3P1XE33NYC3,0
493,A2UFD1I8ZO1V4G,2
493,AD317NO9623GZ,3
493,A1PAR1TMKFPKQE,0
493,A53VNQRRFQ785,3
394,A1VW9W0DWXCPYE,2
394,A3NU1SQPI1NXY4,3
394,AKBP92VUQ7G3,0
394,ATQWZNGQCN1RA,0
394,A2V3P1XE33NYC3,2
394,A2UFD1I8ZO1V4G,3
394,AD317NO9623GZ,2
394,A1PAR1TMKFPKQE,1
394,A3E157ZN8XPUKJ,2
407,A1VW9W0DWXCPYE,2
407,A3NU1SQPI1NXY4,3
407,AKBP92VUQ7G3,3
407,ATQWZNGQCN1RA,1
407,A2H321P1NSEW35,0
407,A2V3P1XE33NYC3,2
407,A2UFD1I8ZO1V4G,0
407,AD317NO9623GZ,2
407,A3E157ZN8XPUKJ,1
408,A1VW9W0DWXCPYE,1
408,A3NU1SQPI1NXY4,1
408,AKBP92VUQ7G3,1
408,ATQWZNGQCN1RA,0
408,A2H321P1NSEW35,1
408,A2V3P1XE33NYC3,0
408,A2UFD1I8ZO1V4G,1
408,AD317NO9623GZ,1
408,A3E157ZN8XPUKJ,1
502,A1VW9W0DWXCPYE,1
502,A3NU1SQPI1NXY4,3
502,AKBP92VUQ7G3,3
502,ATQWZNGQCN1RA,1
502,A2V3P1XE33NYC3,3
502,A2UFD1I8ZO1V4G,2
502,AD317NO9623GZ,1
502,A1PAR1TMKFPKQE,0
502,A3E157ZN8XPUKJ,2
197,A1VW9W0DWXCPYE,3
197,A3NU1SQPI1NXY4,2
197,AKBP92VUQ7G3,3
197,ATQWZNGQCN1RA,2
197,A2V3P1XE33NYC3,0
197,A2UFD1I8ZO1V4G,0
197,AD317NO9623GZ,3
197,AWRAXV1RIYR0M,3
197,A1PAR1TMKFPKQE,3
271,A1VW9W0DWXCPYE,2
271,A3NU1SQPI1NXY4,2
271,AKBP92VUQ7G3,2
271,ATQWZNGQCN1RA,2
271,A2V3P1XE33NYC3,3
271,A2UFD1I8ZO1V4G,3
271,AD317NO9623GZ,2
271,A36JZTUKQVV5S5,3
271,A1BHMDRWW9ZYSO,1
178,A1VW9W0DWXCPYE,3
178,A3NU1SQPI1NXY4,3
178,AKBP92VUQ7G3,2
178,ATQWZNGQCN1RA,0
178,A2V3P1XE33NYC3,2
178,A2UFD1I8ZO1V4G,1
178,AD317NO9623GZ,2
178,A36JZTUKQVV5S5,3
178,A3E157ZN8XPUKJ,3
522,A1VW9W0DWXCPYE,1
522,A3NU1SQPI1NXY4,2
522,AKBP92VUQ7G3,1
522,ATQWZNGQCN1RA,3
522,A2H321P1NSEW35,1
522,A2V3P1XE33NYC3,2
522,A2UFD1I8ZO1V4G,3
522,AD317NO9623GZ,1
522,A1C0Z73809FFDZ,3
269,A1VW9W0DWXCPYE,3
269,A3NU1SQPI1NXY4,3
269,AKBP92VUQ7G3,1
269,ATQWZNGQCN1RA,3
269,A2V3P1XE33NYC3,3
269,A2UFD1I8ZO1V4G,1
269,AD317NO9623GZ,0
269,A36JZTUKQVV5S5,3
269,A1BHMDRWW9ZYSO,1
341,A1VW9W0DWXCPYE,2
341,A3NU1SQPI1NXY4,0
341,AKBP92VUQ7G3,3
341,ATQWZNGQCN1RA,3
341,A2H321P1NSEW35,2
341,A2F0X4LN9N4O4C,3
341,A2V3P1XE33NYC3,3
341,A2UFD1I8ZO1V4G,3
341,AD317NO9623GZ,2
344,A1VW9W0DWXCPYE,0
344,A3NU1SQPI1NXY4,1
344,AKBP92VUQ7G3,0
344,ATQWZNGQCN1RA,3
344,A2H321P1NSEW35,1
344,A2F0X4LN9N4O4C,3
344,A2V3P1XE33NYC3,3
344,A2UFD1I8ZO1V4G,3
344,AD317NO9623GZ,3
496,A1VW9W0DWXCPYE,2
496,A3NU1SQPI1NXY4,1
496,AKBP92VUQ7G3,2
496,ATQWZNGQCN1RA,2
496,A2V3P1XE33NYC3,1
496,A2UFD1I8ZO1V4G,3
496,AD317NO9623GZ,2
496,A1PAR1TMKFPKQE,1
496,A53VNQRRFQ785,2
519,A1VW9W0DWXCPYE,0
519,A3NU1SQPI1NXY4,1
519,AKBP92VUQ7G3,0
519,ATQWZNGQCN1RA,0
519,A2V3P1XE33NYC3,2
519,A2UFD1I8ZO1V4G,1
519,AD317NO9623GZ,0
519,A1PAR1TMKFPKQE,0
519,A3E157ZN8XPUKJ,3
277,A1VW9W0DWXCPYE,2
277,A3NU1SQPI1NXY4,1
277,AKBP92VUQ7G3,1
277,ATQWZNGQCN1RA,1
277,A2V3P1XE33NYC3,2
277,A2UFD1I8ZO1V4G,3
277,AD317NO9623GZ,2
277,AM2W23THD4CI7,2
277,A53VNQRRFQ785,2
506,A1VW9W0DWXCPYE,3
506,A3NU1SQPI1NXY4,3
506,AKBP92VUQ7G3,3
506,ATQWZNGQCN1RA,0
506,A2V3P1XE33NYC3,1
506,A2UFD1I8ZO1V4G,3
506,AD317NO9623GZ,3
506,A1PAR1TMKFPKQE,3
506,A1BHMDRWW9ZYSO,3
113,A1VW9W0DWXCPYE,2
113,A3NU1SQPI1NXY4,2
113,AKBP92VUQ7G3,2
113,ATQWZNGQCN1RA,2
113,A2V3P1XE33NYC3,2
113,A2UFD1I8ZO1V4G,3
113,AD317NO9623GZ,1
113,A1PAR1TMKFPKQE,2
113,A1BHMDRWW9ZYSO,2
577,A1VW9W0DWXCPYE,0
577,A3NU1SQPI1NXY4,3
577,AKBP92VUQ7G3,3
577,ATQWZNGQCN1RA,3
577,A2V3P1XE33NYC3,0
577,A2UFD1I8ZO1V4G,1
577,AD317NO9623GZ,3
577,A1PAR1TMKFPKQE,0
577,A2BERTY629PZDT,1
265,A1VW9W0DWXCPYE,1
265,A3NU1SQPI1NXY4,1
265,AKBP92VUQ7G3,1
265,ATQWZNGQCN1RA,1
265,A2V3P1XE33NYC3,0
265,A2UFD1I8ZO1V4G,0
265,AD317NO9623GZ,1
265,A1C0Z73809FFDZ,1
265,A1BHMDRWW9ZYSO,2
526,A1VW9W0DWXCPYE,3
526,A3NU1SQPI1NXY4,3
526,AKBP92VUQ7G3,3
526,ATQWZNGQCN1RA,3
526,A2V3P1XE33NYC3,1
526,A2UFD1I8ZO1V4G,0
526,AD317NO9623GZ,3
526,A3E157ZN8XPUKJ,3
526,A3GLUDQZGEJL5G,0
521,A1VW9W0DWXCPYE,2
521,A3NU1SQPI1NXY4,1
521,AKBP92VUQ7G3,3
521,ATQWZNGQCN1RA,2
521,A2H321P1NSEW35,3
521,A2V3P1XE33NYC3,1
521,A2UFD1I8ZO1V4G,1
521,AD317NO9623GZ,2
521,A1C0Z73809FFDZ,2
460,A1VW9W0DWXCPYE,0
460,A3NU1SQPI1NXY4,1
460,AKBP92VUQ7G3,0
460,ATQWZNGQCN1RA,2
460,A2V3P1XE33NYC3,0
460,A2UFD1I8ZO1V4G,1
460,AD317NO9623GZ,0
460,A1PAR1TMKFPKQE,0
460,A3E157ZN8XPUKJ,0
267,A1VW9W0DWXCPYE,0
267,A3NU1SQPI1NXY4,2
267,AKBP92VUQ7G3,0
267,ATQWZNGQCN1RA,1
267,A2V3P1XE33NYC3,0
267,A2UFD1I8ZO1V4G,0
267,AD317NO9623GZ,0
267,A1C0Z73809FFDZ,3
267,A1BHMDRWW9ZYSO,2
443,A1VW9W0DWXCPYE,1
443,A3NU1SQPI1NXY4,0
443,AKBP92VUQ7G3,0
443,ATQWZNGQCN1RA,1
443,A2V3P1XE33NYC3,0
443,A2UFD1I8ZO1V4G,3
443,AD317NO9623GZ,0
443,A3E157ZN8XPUKJ,2
443,A1BHMDRWW9ZYSO,3
179,A1VW9W0DWXCPYE,2
179,A3NU1SQPI1NXY4,2
179,AKBP92VUQ7G3,0
179,ATQWZNGQCN1RA,2
179,A2V3P1XE33NYC3,2
179,A2UFD1I8ZO1V4G,0
179,AD317NO9623GZ,0
179,A36JZTUKQVV5S5,1
179,A3E157ZN8XPUKJ,2
200,A1VW9W0DWXCPYE,1
200,A3NU1SQPI1NXY4,1
200,AKBP92VUQ7G3,2
200,ATQWZNGQCN1RA,1
200,A2V3P1XE33NYC3,0
200,A2UFD1I8ZO1V4G,0
200,AD317NO9623GZ,1
200,AWRAXV1RIYR0M,1
200,A1PAR1TMKFPKQE,2
215,A1VW9W0DWXCPYE,3
215,A3NU1SQPI1NXY4,3
215,AKBP92VUQ7G3,3
215,ATQWZNGQCN1RA,2
215,A2H321P1NSEW35,1
215,A2V3P1XE33NYC3,3
215,A2UFD1I8ZO1V4G,0
215,AD317NO9623GZ,3
215,A1BHMDRWW9ZYSO,3
406,A1VW9W0DWXCPYE,3
406,A3NU1SQPI1NXY4,3
406,AKBP92VUQ7G3,3
406,ATQWZNGQCN1RA,0
406,A2H321P1NSEW35,2
406,A2V3P1XE33NYC3,0
406,A2UFD1I8ZO1V4G,2
406,AD317NO9623GZ,3
406,A3E157ZN8XPUKJ,0
579,A1VW9W0DWXCPYE,3
579,A3NU1SQPI1NXY4,3
579,AKBP92VUQ7G3,1
579,ATQWZNGQCN1RA,2
579,A2V3P1XE33NYC3,3
579,A2UFD1I8ZO1V4G,1
579,AD317NO9623GZ,3
579,A1PAR1TMKFPKQE,3
579,A2BERTY629PZDT,3
494,A1VW9W0DWXCPYE,3
494,A3NU1SQPI1NXY4,3
494,AKBP92VUQ7G3,0
494,ATQWZNGQCN1RA,0
494,A2V3P1XE33NYC3,3
494,A2UFD1I8ZO1V4G,2
494,AD317NO9623GZ,3
494,A1PAR1TMKFPKQE,1
494,A53VNQRRFQ785,1
395,A1VW9W0DWXCPYE,0
395,A3NU1SQPI1NXY4,1
395,AKBP92VUQ7G3,2
395,ATQWZNGQCN1RA,1
395,A2V3P1XE33NYC3,0
395,A2UFD1I8ZO1V4G,3
395,AD317NO9623GZ,0
395,A1PAR1TMKFPKQE,0
395,A3E157ZN8XPUKJ,0
504,A1VW9W0DWXCPYE,0
504,A3NU1SQPI1NXY4,3
504,AKBP92VUQ7G3,3
504,ATQWZNGQCN1RA,2
504,A2V3P1XE33NYC3,0
504,A2UFD1I8ZO1V4G,3
504,AD317NO9623GZ,3
504,A1PAR1TMKFPKQE,0
504,A3E157ZN8XPUKJ,0
234,A1VW9W0DWXCPYE,2
234,A3NU1SQPI1NXY4,3
234,AKBP92VUQ7G3,2
234,ATQWZNGQCN1RA,3
234,A2H321P1NSEW35,1
234,A2V3P1XE33NYC3,2
234,A2UFD1I8ZO1V4G,3
234,AD317NO9623GZ,2
234,A3E157ZN8XPUKJ,2
279,A1VW9W0DWXCPYE,3
279,A3NU1SQPI1NXY4,1
279,AKBP92VUQ7G3,3
279,ATQWZNGQCN1RA,2
279,A2V3P1XE33NYC3,2
279,A2UFD1I8ZO1V4G,1
279,AD317NO9623GZ,2
279,AM2W23THD4CI7,1
279,A53VNQRRFQ785,3
518,A1VW9W0DWXCPYE,1
518,A3NU1SQPI1NXY4,2
518,AKBP92VUQ7G3,1
518,ATQWZNGQCN1RA,1
518,A2V3P1XE33NYC3,0
518,A2UFD1I8ZO1V4G,2
518,AD317NO9623GZ,1
518,A1PAR1TMKFPKQE,3
518,A3E157ZN8XPUKJ,1
523,A1VW9W0DWXCPYE,3
523,A3NU1SQPI1NXY4,1
523,AKBP92VUQ7G3,1
523,ATQWZNGQCN1RA,3
523,A2H321P1NSEW35,1
523,A2V3P1XE33NYC3,3
523,A2UFD1I8ZO1V4G,3
523,AD317NO9623GZ,1
523,A1C0Z73809FFDZ,3
213,A1VW9W0DWXCPYE,1
213,A3NU1SQPI1NXY4,1
213,AKBP92VUQ7G3,0
213,ATQWZNGQCN1RA,1
213,A2H321P1NSEW35,1
213,A2V3P1XE33NYC3,1
213,A2UFD1I8ZO1V4G,0
213,AD317NO9623GZ,3
213,A1BHMDRWW9ZYSO,1
501,A1VW9W0DWXCPYE,2
501,A3NU1SQPI1NXY4,0
501,AKBP92VUQ7G3,2
501,ATQWZNGQCN1RA,0
501,A2V3P1XE33NYC3,3
501,A2UFD1I8ZO1V4G,0
501,AD317NO9623GZ,2
501,A1PAR1TMKFPKQE,3
501,A3E157ZN8XPUKJ,3
444,A1VW9W0DWXCPYE,0
444,A3NU1SQPI1NXY4,0
444,AKBP92VUQ7G3,0
444,ATQWZNGQCN1RA,0
444,A2V3P1XE33NYC3,2
444,A2UFD1I8ZO1V4G,3
444,AD317NO9623GZ,1
444,A3E157ZN8XPUKJ,0
444,A1BHMDRWW9ZYSO,3
226,A1VW9W0DWXCPYE,1
226,A3NU1SQPI1NXY4,1
226,AKBP92VUQ7G3,0
226,ATQWZNGQCN1RA,1
226,A2V3P1XE33NYC3,2
226,A2UFD1I8ZO1V4G,3
226,AD317NO9623GZ,1
226,A3E157ZN8XPUKJ,1
226,AM2W23THD4CI7,3
525,A1VW9W0DWXCPYE,0
525,A3NU1SQPI1NXY4,2
525,AKBP92VUQ7G3,2
525,ATQWZNGQCN1RA,0
525,A2V3P1XE33NYC3,0
525,A2UFD1I8ZO1V4G,3
525,AD317NO9623GZ,0
525,A3E157ZN8XPUKJ,0
525,A3GLUDQZGEJL5G,1
216,A1VW9W0DWXCPYE,2
216,A3NU1SQPI1NXY4,1
216,AKBP92VUQ7G3,2
216,ATQWZNGQCN1RA,3
216,A2H321P1NSEW35,3
216,A2V3P1XE33NYC3,2
216,A2UFD1I8ZO1V4G,1
216,AD317NO9623GZ,3
216,A1BHMDRWW9ZYSO,1
85,A1VW9W0DWXCPYE,1
85,A3NU1SQPI1NXY4,3
85,AKBP92VUQ7G3,1
85,ATQWZNGQCN1RA,0
85,A2V3P1XE33NYC3,0
85,A2UFD1I8ZO1V4G,3
85,AD317NO9623GZ,3
85,A1PAR1TMKFPKQE,2
85,A3E157ZN8XPUKJ,1
343,A1VW9W0DWXCPYE,3
343,A3NU1SQPI1NXY4,3
343,AKBP92VUQ7G3,0
343,ATQWZNGQCN1RA,2
343,A2H321P1NSEW35,2
343,A2F0X4LN9N4O4C,3
343,A2V3P1XE33NYC3,0
343,A2UFD1I8ZO1V4G,2
343,AD317NO9623GZ,3
580,A1VW9W0DWXCPYE,2
580,A3NU1SQPI1NXY4,2
580,AKBP92VUQ7G3,2
580,ATQWZNGQCN1RA,1
580,A2V3P1XE33NYC3,3
580,A2UFD1I8ZO1V4G,3
580,AD317NO9623GZ,2
580,A1PAR1TMKFPKQE,0
580,A2BERTY629PZDT,2
199,A1VW9W0DWXCPYE,2
199,A3NU1SQPI1NXY4,2
199,AKBP92VUQ7G3,2
199,ATQWZNGQCN1RA,3
199,A2V3P1XE33NYC3,1
199,A2UFD1I8ZO1V4G,3
199,AD317NO9623GZ,2
199,AWRAXV1RIYR0M,2
199,A1PAR1TMKFPKQE,3
424,A1VW9W0DWXCPYE,2
424,A3NU1SQPI1NXY4,0
424,AKBP92VUQ7G3,2
424,ATQWZNGQCN1RA,3
424,A2V3P1XE33NYC3,2
424,A2UFD1I8ZO1V4G,0
424,AD317NO9623GZ,0
424,A3GLUDQZGEJL5G,2
424,A1KZOLS51I9SS7,1
457,A1VW9W0DWXCPYE,1
457,A3NU1SQPI1NXY4,1
457,AKBP92VUQ7G3,1
457,ATQWZNGQCN1RA,1
457,A2V3P1XE33NYC3,1
457,A2UFD1I8ZO1V4G,3
457,AD317NO9623GZ,2
457,A1PAR1TMKFPKQE,2
457,A3E157ZN8XPUKJ,1
214,A1VW9W0DWXCPYE,0
214,A3NU1SQPI1NXY4,0
214,AKBP92VUQ7G3,3
214,ATQWZNGQCN1RA,1
214,A2H321P1NSEW35,0
214,A2V3P1XE33NYC3,1
214,A2UFD1I8ZO1V4G,1
214,AD317NO9623GZ,1
214,A1BHMDRWW9ZYSO,2
505,A1VW9W0DWXCPYE,1
505,A3NU1SQPI1NXY4,1
505,AKBP92VUQ7G3,3
505,ATQWZNGQCN1RA,1
505,A2V3P1XE33NYC3,1
505,A2UFD1I8ZO1V4G,3
505,AD317NO9623GZ,0
505,A1PAR1TMKFPKQE,1
505,A1BHMDRWW9ZYSO,1
268,A1VW9W0DWXCPYE,2
268,A3NU1SQPI1NXY4,2
268,AKBP92VUQ7G3,1
268,ATQWZNGQCN1RA,2
268,A2V3P1XE33NYC3,1
268,A2UFD1I8ZO1V4G,0
268,AD317NO9623GZ,2
268,A1C0Z73809FFDZ,2
268,A1BHMDRWW9ZYSO,0
116,A1VW9W0DWXCPYE,1
116,A3NU1SQPI1NXY4,1
116,AKBP92VUQ7G3,1
116,ATQWZNGQCN1RA,1
116,A2V3P1XE33NYC3,1
116,A2UFD1I8ZO1V4G,0
116,AD317NO9623GZ,0
116,A1PAR1TMKFPKQE,2
116,A1BHMDRWW9ZYSO,0
528,A1VW9W0DWXCPYE,2
528,A3NU1SQPI1NXY4,2
528,AKBP92VUQ7G3,1
528,ATQWZNGQCN1RA,2
528,A2V3P1XE33NYC3,2
528,A2UFD1I8ZO1V4G,3
528,AD317NO9623GZ,2
528,A3E157ZN8XPUKJ,2
528,A3GLUDQZGEJL5G,2
507,A1VW9W0DWXCPYE,0
507,A3NU1SQPI1NXY4,2
