question,worker,answer
477,1,0
477,9,0
477,13,0
477,17,0
477,20,0
477,27,0
477,29,3
477,41,3
477,43,0
477,66,1
524,1,3
524,10,3
524,14,3
524,21,3
524,30,3
524,35,0
524,40,3
524,54,3
524,66,3
524,69,3
100,1,0
100,3,0
100,4,0
100,10,0
100,13,2
100,26,0
100,34,0
100,49,3
100,56,0
100,61,0
555,1,2
555,16,1
555,20,1
555,22,2
555,23,2
555,34,2
555,35,2
555,36,2
555,40,2
555,63,2
456,1,2
456,4,2
456,8,2
456,15,2
456,21,0
456,34,1
456,40,2
456,54,2
456,60,0
456,61,2
185,1,3
185,12,3
185,20,3
185,21,3
185,25,2
185,31,3
185,35,3
185,43,3
185,55,3
185,60,3
84,1,0
84,14,0
84,16,0
84,17,0
84,20,0
84,22,0
84,25,0
84,35,0
84,40,0
84,56,0
594,1,0
594,3,0
594,7,1
594,10,0
594,16,3
594,22,0
594,29,1
594,55,0
594,60,1
594,63,0
88,1,1
88,9,1
88,10,1
88,16,1
88,19,1
88,21,1
88,37,1
88,42,1
88,51,3
88,55,1
563,1,0
563,6,0
563,10,0
563,14,1
563,16,3
563,25,0
563,34,0
563,45,2
563,47,2
563,61,0
704,1,3
704,16,3
704,21,3
704,28,3
704,34,0
704,35,3
704,51,2
704,54,3
704,73,3
704,107,3
354,1,1
354,5,2
354,15,1
354,23,1
354,27,1
354,32,1
354,52,3
354,55,1
354,60,1
354,62,0
250,1,3
250,3,1
250,29,3
250,35,3
250,39,3
250,40,1
250,43,3
250,73,3
250,83,3
250,90,2
482,1,3
482,5,3
482,10,3
482,16,3
482,35,2
482,39,2
482,40,2
482,43,3
482,54,0
482,88,0
730,1,2
730,3,0
730,9,2
730,11,1
730,14,2
730,20,2
730,25,2
730,34,0
730,53,2
730,73,2
328,1,3
328,3,3
328,8,1
328,10,3
328,16,3
328,23,3
328,34,2
328,53,1
328,62,0
328,74,3
285,1,0
285,16,1
285,25,0
285,27,0
285,50,3
285,56,0
285,57,1
285,63,0
285,70,1
285,85,0
118,1,2
118,8,0
118,16,2
118,20,2
118,23,3
118,25,2
118,28,3
118,29,2
118,34,2
118,53,2
287,1,0
287,3,0
287,9,3
287,11,0
287,20,2
287,22,0
287,29,0
287,43,0
287,58,0
287,90,0
359,1,2
359,9,2
359,16,2
359,22,2
359,25,2
359,34,2
359,48,2
359,55,2
359,61,2
359,97,2
229,1,0
229,9,0
229,13,0
229,23,0
229,34,0
229,37,0
229,40,0
229,43,3
229,51,0
229,55,0
290,1,1
290,3,1
290,7,2
290,12,1
290,13,1
290,16,2
290,21,1
290,22,1
290,29,3
290,45,1
722,1,1
722,8,2
722,17,1
722,20,1
722,22,1
722,23,0
722,28,1
722,31,1
722,41,1
722,55,1
682,1,1
682,15,1
682,21,1
682,22,3
682,25,2
682,28,1
682,30,1
682,31,1
682,50,1
682,58,1
222,1,2
222,9,2
222,10,2
