question,worker,answer
8,1,0
8,3,2
8,5,0
8,20,0
8,23,0
8,40,0
8,44,0
8,45,0
8,46,0
8,47,0
428,1,0
428,3,0
428,5,2
428,17,0
428,27,3
428,34,2
428,41,0
428,61,0
428,72,0
428,80,0
398,1,1
398,10,1
398,13,0
398,25,1
398,35,1
398,40,3
398,47,1
398,51,1
398,53,1
398,91,2
335,1,0
335,9,0
335,16,0
335,20,1
335,21,1
335,28,0
335,35,0
335,36,2
335,37,0
335,61,0
530,1,3
530,3,0
530,9,3
530,13,3
530,15,3
530,16,3
530,22,3
530,37,3
530,53,0
530,55,3
118,1,2
118,8,0
118,16,3
118,20,2
118,23,2
118,25,2
118,28,2
118,29,2
118,34,3
118,53,1
602,1,2
602,3,0
602,10,0
602,11,2
602,13,1
602,17,2
602,20,2
602,49,2
602,56,1
602,80,2
301,1,3
301,3,3
301,5,3
301,10,3
301,13,3
301,31,1
301,35,3
301,39,3
301,55,1
301,56,1
65,1,3
65,3,3
65,5,2
65,26,3
65,34,3
65,36,3
65,39,1
65,40,3
65,41,3
65,55,3
433,1,0
433,5,0
433,9,0
433,15,0
433,16,0
433,25,0
433,28,0
433,43,1
433,52,1
433,58,0
323,1,2
323,3,2
323,12,2
323,25,2
323,27,2
323,31,2
323,34,0
323,37,2
323,39,0
323,40,2
451,1,3
451,13,1
451,16,3
451,31,3
451,35,1
451,36,3
451,37,3
451,43,3
451,62,3
451,94,3
383,1,1
383,10,1
383,34,2
383,39,1
383,40,1
383,44,1
383,47,1
383,48,1
383,79,0
383,102,1
377,1,2
377,13,1
377,17,2
377,20,2
377,28,1
377,29,2
377,37,2
377,42,2
377,55,2
377,60,2
232,1,3
232,13,1
232,29,3
232,31,2
232,40,3
232,47,0
232,49,3
232,51,0
232,63,1
232,72,1
579,1,2
579,7,1
579,9,3
579,12,2
579,13,2
579,17,2
579,20,1
579,25,2
579,51,2
579,53,2
211,1,0
211,3,2
211,13,0
211,19,0
211,37,0
211,40,0
211,44,0
211,54,0
211,57,0
211,89,2
13,1,3
13,2,1
13,5,1
13,9,3
13,10,3
13,12,3
