question,worker,answer
110,1,2
110,3,2
110,9,2
110,21,2
110,22,2
110,35,0
110,45,2
110,55,3
110,56,3
110,61,1
562,1,1
562,4,1
562,13,1
562,16,1
562,21,1
562,22,1
562,37,1
562,40,3
562,43,0
562,48,3
359,1,2
359,9,0
359,16,2
359,22,3
359,25,3
359,34,1
359,48,0
359,55,2
359,61,2
359,97,2
555,1,2
555,16,3
555,20,2
555,22,0
555,23,0
555,34,0
555,35,2
555,36,1
555,40,0
555,63,0
240,1,2
240,2,2
240,13,2
240,16,0
240,19,1
240,20,3
240,23,0
240,43,1
240,49,2
240,54,0
88,1,1
88,9,1
88,10,1
88,16,3
88,19,0
88,21,1
88,37,1
88,42,1
88,51,1
88,55,1
185,1,3
185,12,2
185,20,1
185,21,1
185,25,2
185,31,2
185,35,3
185,43,1
185,55,3
185,60,3
116,1,3
116,12,3
116,13,3
116,14,1
116,17,3
116,23,0
116,35,3
116,40,3
116,47,1
116,61,2
1,1,3
1,2,0
1,3,3
1,4,0
1,5,0
1,6,3
1,7,0
1,8,2
1,9,3
1,10,2
263,1,0
263,13,0
263,16,3
263,20,0
263,37,0
263,40,1
263,41,1
263,43,0
263,62,3
263,81,2
650,1,2
650,2,1
650,3,2
650,9,2
650,16,2
650,17,2
650,20,2
650,35,2
650,40,2
650,43,3
479,1,3
479,3,2
479,17,1
479,20,3
479,22,2
479,23,3
479,31,0
479,32,2
479,35,3
479,65,1
256,1,1
256,8,1
256,13,2
256,14,1
256,20,3
256,22,3
256,31,1
256,35,2
256,44,1
256,53,0
369,1,2
369,5,0
369,14,2
369,16,0
369,23,2
369,34,0
369,35,2
369,37,1
369,85,1
369,88,0
148,1,2
148,3,1
148,9,2
148,20,0
148,22,2
148,29,0
148,35,0
148,40,3
148,43,0
148,51,2
71,1,2
71,13,2
71,15,3
71,34,2
71,35,2
71,47,2
71,51,2
71,54,2
71,55,0
71,66,2
459,1,2
459,6,2
459,12,1
459,13,2
459,15,0
459,22,2
459,23,1
459,34,3
459,55,3
459,56,2
722,1,1
722,8,0
722,17,0
722,20,1
722,22,2
722,23,3
722,28,3
722,31,3
722,41,3
722,55,3
632,1,3
632,3,1
632,5,3
632,9,0
632,13,3
632,29,1
632,37,2
632,43,1
632,65,2
632,105,3
705,1,2
705,13,1
705,20,1
705,22,0
705,29,3
705,30,0
705,34,2
705,58,3
705,60,2
705,61,2
714,1,1
714,11,2
714,16,2
714,20,0
714,22,1
714,28,0
714,31,1
714,35,2
714,43,1
714,47,3
115,1,2
115,3,1
115,9,1
115,12,2
115,13,2
115,20,2
115,41,3
115,51,2
115,53,2
115,54,3
322,1,3
322,3,3
322,9,1
322,17,3
322,20,3
322,41,0
322,44,3
322,45,2
322,61,3
322,87,0
276,1,2
276,5,2
276,9,2
276,20,1
276,22,2
276,23,3
276,24,2
276,31,2
276,37,2
276,50,3
343,1,1
343,3,0
343,16,1
343,20,2
343,21,3
343,28,0
343,31,0
343,35,1
343,61,1
343,66,2
46,1,0
46,2,3
46,7,0
46,9,0
46,16,0
46,23,2
46,37,0
46,40,3
46,43,0
46,47,1
602,1,2
602,3,2
602,10,2
602,11,2
602,13,2
602,17,2
602,20,3
602,49,0
602,56,3
602,80,0
209,1,2
209,3,3
209,10,2
209,20,1
209,31,2
209,35,3
209,36,2
209,41,2
209,43,2
209,61,0
653,1,3
653,11,0
653,13,0
653,21,2
653,22,3
653,25,3
653,29,2
653,55,3
653,59,2
653,61,0
611,1,3
611,11,0
611,13,2
611,17,3
611,21,0
611,22,2
611,34,3
611,37,3
611,43,3
611,56,3
413,1,3
413,3,2
413,12,1
413,16,2
413,21,0
413,25,3
413,28,1
413,30,3
413,31,3
413,50,3
354,1,1
354,5,1
354,15,1
354,23,1
354,27,0
354,32,1
354,52,1
354,55,2
354,60,2
354,62,3
90,1,1
90,3,3
90,4,1
90,13,3
90,36,1
90,48,1
90,49,1
90,50,1
90,77,1
90,90,0
142,1,2
142,9,3
142,10,0
142,16,3
142,20,3
142,21,0
142,22,0
142,37,0
142,52,0
142,86,2
211,1,0
211,3,1
211,13,0
211,19,0
211,37,0
211,40,0
211,44,0
211,54,0
211,57,0
211,89,3
445,1,0
445,3,0
445,10,0
445,13,0
445,16,0
445,20,0
445,25,0
445,37,3
445,43,3
445,45,1
553,1,2
553,2,2
553,5,2
553,28,2
553,43,2
553,44,0
553,50,2
553,54,2
553,61,2
553,99,1
556,1,2
556,5,3
556,13,2
556,17,2
556,19,0
556,20,2
556,25,2
556,35,1
556,39,0
556,66,3
84,1,0
84,14,0
84,16,0
84,17,0
84,20,3
84,22,1
84,25,0
84,35,0
84,40,0
84,56,0
593,1,1
593,3,2
593,9,1
593,15,2
593,22,1
593,37,3
593,39,0
593,41,3
593,53,1
593,80,0
628,1,0
628,8,0
628,13,0
628,16,0
628,20,0
628,29,0
628,34,2
628,35,2
628,53,0
628,66,3
552,1,0
552,9,0
552,12,0
552,16,2
552,22,0
552,23,0
552,31,0
552,39,0
552,45,2
552,55,1
368,1,0
368,3,1
368,9,1
368,13,0
368,19,0
368,24,2
368,31,0
368,34,0
368,40,3
368,47,0
398,1,1
398,10,1
398,13,3
398,25,1
398,35,3
398,40,3
398,47,0
398,51,3
398,53,1
398,91,3
366,1,3
366,4,3
366,16,1
366,21,1
366,34,3
366,35,3
366,39,3
366,41,1
366,43,0
366,51,1
718,1,2
718,9,3
718,12,2
718,13,1
