question,truth
4,1
19,0
23,1
27,2
30,1
44,0
45,0
48,1
49,1
50,0
60,0
62,1
69,2
70,0
71,1
72,3
73,3
74,0
76,1
77,2
78,3
87,0
88,2
108,2
109,2
111,0
119,1
123,2
124,3
147,3
149,2
159,2
166,1
170,3
172,0
175,0
177,1
179,2
198,0
201,1
202,3
210,0
213,1
214,0
218,3
221,0
225,2
227,3
229,2
233,0
240,0
249,2
265,1
268,2
269,3
279,3
280,1
281,3
282,2
308,0
314,0
315,2
320,1
325,0
333,1
342,1
344,0
348,1
352,2
360,0
362,3
365,1
370,2
371,3
389,2
402,2
410,1
415,1
421,0
422,3
424,2
437,1
442,2
446,3
448,0
449,3
450,2
451,1
452,0
453,1
454,2
455,0
462,3
465,3
467,1
472,2
479,3
482,0
485,1
491,3
499,1
506,3
513,3
521,2
531,3
548,0
557,0
558,1
559,2
564,2
565,0
570,1
574,3
578,1
582,0
583,2
584,1
