question,truth
1,2
3,0
5,1
6,3
7,0
9,1
10,0
11,3
12,2
14,1
17,3
19,0
21,3
28,3
32,3
34,1
35,2
38,1
39,3
41,2
42,1
44,0
46,2
48,1
49,1
51,2
52,3
55,1
57,1
58,2
60,0
62,1
63,3
64,0
66,1
67,3
69,2
71,1
72,3
74,0
75,2
78,3
84,0
87,0
89,0
90,2
91,3
93,1
94,3
98,1
99,2
100,0
102,3
103,0
110,1
114,3
118,3
119,1
121,0
124,3
125,1
128,0
131,0
132,1
134,0
136,1
138,3
139,2
140,1
142,3
143,2
145,0
147,3
148,2
150,3
151,1
152,0
154,2
155,0
156,1
158,3
159,2
161,1
162,0
163,2
167,0
169,1
172,0
173,3
175,0
178,3
179,2
180,0
186,3
187,2
188,1
191,2
195,3
200,1
201,1
202,3
205,0
206,1
207,3
208,2
211,3
212,1
216,2
217,2
218,3
219,0
220,1
221,0
225,2
226,1
228,0
231,3
232,1
233,0
236,3
237,1
239,2
241,1
242,3
245,3
246,2
251,3
253,3
255,2
256,0
261,0
263,2
264,1
265,1
266,3
267,0
268,2
270,1
275,2
278,0
281,3
282,2
283,1
284,0
290,0
292,3
293,2
295,3
298,1
299,2
300,3
303,0
304,3
309,0
310,2
312,3
314,0
315,2
316,3
318,0
319,3
321,1
323,0
324,2
325,0
326,1
331,2
333,1
337,1
338,0
339,2
340,3
342,1
344,0
345,0
346,3
350,3
352,2
353,1
354,0
357,2
360,0
361,2
363,0
364,1
365,1
366,3
367,0
368,2
369,0
370,2
371,3
374,0
377,3
378,1
385,0
386,3
387,2
389,2
392,1
393,1
395,0
396,3
397,2
398,1
400,3
401,1
402,2
403,3
405,0
407,2
408,1
410,1
413,0
415,1
418,3
419,2
420,1
422,3
424,2
426,1
428,0
431,0
436,1
439,2
440,0
441,3
444,0
445,1
450,2
453,1
455,0
456,3
459,2
460,0
461,0
463,1
467,1
468,0
469,3
473,3
474,2
476,1
479,3
480,1
485,1
488,2
489,0
490,2
491,3
492,1
497,2
498,0
499,1
500,3
501,2
503,3
505,1
510,1
516,1
517,3
520,2
522,1
523,3
525,0
528,2
531,3
532,0
537,2
538,1
539,3
545,2
549,3
552,2
555,2
556,0
557,0
560,3
561,1
562,0
563,3
570,1
571,0
575,2
576,1
577,0
578,1
579,3
580,2
581,3
583,2
584,1
