question,truth
2,3
4,1
8,2
13,3
15,0
16,2
18,1
20,2
22,0
23,1
24,2
25,1
26,0
27,2
29,2
30,1
31,0
33,3
36,0
37,2
40,0
43,3
45,0
47,3
50,0
53,0
54,3
56,2
59,3
61,2
65,2
68,0
70,0
73,3
76,1
77,2
79,0
80,1
81,1
82,3
83,2
85,1
86,3
88,2
92,1
95,0
96,2
97,3
101,2
104,1
105,3
106,1
107,0
108,2
109,2
111,0
112,3
113,2
115,0
116,1
117,2
120,0
122,1
123,2
126,3
127,2
129,2
130,3
133,3
135,2
137,0
141,1
144,0
146,1
149,2
153,3
157,1
160,0
164,3
165,3
166,1
168,2
170,3
171,2
174,1
176,2
177,1
181,3
182,0
183,1
184,2
185,0
189,3
190,0
192,1
193,0
194,2
196,1
197,3
198,0
199,2
203,2
204,0
209,2
210,0
213,1
214,0
215,3
222,1
223,2
224,3
227,3
229,2
230,0
234,2
235,1
238,3
240,0
243,2
244,0
247,0
248,1
249,2
250,0
252,1
254,1
257,1
258,0
259,3
260,2
262,3
269,3
271,2
272,0
273,0
274,3
276,1
277,2
279,3
280,1
285,2
286,0
287,1
288,3
289,1
291,2
294,1
296,0
297,0
301,1
302,2
305,3
306,2
307,1
308,0
311,1
313,1
317,2
320,1
322,3
327,2
328,3
329,3
330,1
332,0
334,0
335,2
336,3
341,2
343,3
347,2
348,1
349,1
351,0
355,3
356,2
358,1
359,3
362,3
372,1
373,1
375,2
376,3
379,0
380,2
381,2
382,3
383,1
384,0
388,1
390,0
391,3
394,2
399,0
404,0
406,3
409,2
411,0
412,3
414,2
416,3
417,0
421,0
423,1
425,3
427,2
429,2
430,1
432,3
433,2
434,0
435,3
437,1
438,3
442,2
443,1
446,3
447,2
448,0
449,3
451,1
452,0
454,2
457,1
458,3
462,3
464,2
465,3
466,2
470,1
471,0
472,2
475,0
477,2
478,0
481,1
482,0
483,3
484,2
486,3
487,0
493,0
494,3
495,1
496,2
502,1
504,0
506,3
507,0
508,2
509,3
511,0
512,2
513,3
514,0
515,2
518,1
519,0
521,2
524,0
526,3
527,1
529,1
530,2
533,0
534,2
535,1
536,3
540,0
541,0
542,1
543,2
544,3
546,3
547,1
548,0
550,1
551,0
553,3
554,1
558,1
559,2
564,2
565,0
566,2
567,3
568,1
569,3
572,2
573,0
574,3
582,0
