question,truth
344,2
346,2
340,1
341,3
343,1
348,2
595,3
719,0
713,3
712,3
736,2
619,1
296,0
294,2
295,0
290,1
591,1
590,0
593,1
592,2
199,3
198,2
597,2
197,3
191,1
190,3
192,3
273,3
274,2
275,1
277,2
278,2
738,3
524,3
525,1
526,0
520,0
521,0
522,2
528,3
449,3
448,2
442,3
441,3
440,0
447,0
446,3
108,0
103,1
100,0
101,2
107,3
104,2
32,1
31,2
30,1
36,3
35,3
34,0
640,0
642,0
644,1
439,1
436,3
434,1
338,0
336,2
333,0
332,2
744,2
745,3
90,1
95,1
94,3
97,1
742,2
554,2
557,3
556,2
553,2
238,2
234,1
237,1
231,1
232,3
614,2
144,1
143,0
612,0
610,1
148,2
149,3
768,2
688,3
685,1
684,0
686,0
681,0
680,3
682,1
622,2
130,1
137,3
135,2
134,3
494,3
490,2
491,3
492,2
24,1
26,3
27,3
20,1
21,2
28,2
402,1
400,2
629,2
408,1
378,2
371,0
372,3
375,2
377,2
376,0
708,3
709,1
704,3
705,2
700,2
702,3
88,1
82,2
83,0
80,1
81,1
86,0
796,3
795,1
794,3
799,2
798,0
584,3
585,2
582,1
583,3
581,2
588,1
589,1
244,1
247,2
246,3
241,0
249,1
248,2
511,0
510,3
515,1
458,0
621,0
627,2
626,3
625,2
624,1
452,2
453,3
455,3
456,2
175,1
174,3
173,1
172,2
170,1
654,1
253,2
180,3
186,2
187,3
185,3
189,0
658,3
651,3
11,0
10,0
13,3
14,1
17,3
16,0
19,1
18,1
753,0
752,0
62,0
756,0
322,3
321,0
327,0
324,3
325,2
328,3
329,3
759,1
202,2
205,0
207,1
206,3
208,1
73,1
72,3
70,2
78,3
667,0
664,2
662,2
660,2
769,3
692,0
693,0
695,3
542,2
541,2
546,2
548,2
598,2
120,0
121,0
122,2
123,2
124,2
125,0
126,2
127,3
128,3
129,2
415,2
416,3
411,1
412,3
498,2
418,3
776,1
499,3
318,1
311,3
310,1
317,3
316,1
314,0
496,1
497,3
3,1
367,1
362,1
384,3
387,1
784,3
785,0
787,1
781,1
782,2
783,2
788,2
789,3
605,2
578,3
572,1
571,2
570,2
60,2
61,3
65,3
250,3
256,1
257,0
254,3
603,3
731,3
730,2
509,3
505,1
502,2
501,0
631,2
469,1
636,3
464,2
467,2
164,3
160,1
161,2
163,3
600,1
9,0
648,2
357,0
356,0
355,3
354,1
352,1
803,2
801,2
807,0
806,3
216,0
212,1
213,1
210,2
211,0
762,3
763,1
761,2
766,0
219,1
288,0
4,0
285,0
284,1
287,0
678,3
674,3
675,3
677,1
670,2
673,0
262,2
267,2
265,3
264,1
701,2
58,3
55,2
57,3
56,1
51,2
52,2
536,1
531,3
530,3
539,1
115,2
114,2
117,2
116,3
111,3
119,0
773,3
534,0
420,1
423,0
422,3
427,3
301,3
302,0
303,3
305,1
306,1
307,0
750,1
757,1
754,0
562,1
563,0
564,2
565,2
566,3
227,3
225,0
223,2
221,3
391,3
727,3
723,0
720,1
150,3
155,2
157,1
156,2
158,2
609,0
608,1
634,0
635,3
749,2
49,2
44,2
42,0
638,2
5,3
489,2
488,0
487,3
485,2
483,3
482,3
481,1
472,1
473,1
470,3
471,1
476,0
477,0
478,3
479,3
