question,truth
79185673,0
79188429,1
79189357,0
79193917,1
79194550,1
79195829,0
79197503,2
79197903,0
80053599,1
80056720,0
80057335,1
81176650,1
81177780,0
81177836,1
81179800,2
81990560,2
81991717,1
81992417,0
81996764,0
82510207,1
82512093,0
82513064,1
82513289,2
82516074,0
82517839,0
82673833,0
82674902,0
82676738,2
82680423,2
82681076,1
82681227,2
82682106,2
82838077,2
82838269,2
82838802,2
82841006,2
82841658,1
82844564,2
82844765,0
82845186,1
82845268,0
82850414,1
82851542,0
82852809,0
83255916,1
83256193,0
83258489,1
83268587,1
83270768,1
84034398,0
84048054,0
84048187,0
84049369,2
84049378,2
84050258,0
84305736,0
84306204,1
84306519,1
84308244,1
84311983,0
84314377,0
84317684,1
84318040,2
84319495,1
84320492,1
84320750,0
84321613,0
