question,truth
79196168,2
79197068,0
79197928,2
80052225,2
80053682,0
80058749,1
80058841,1
80059045,0
80059939,0
81169563,0
81170491,1
81171616,0
81176223,0
81176504,1
81177456,0
81177955,1
81178980,2
81215562,2
81988861,0
81989508,0
81991310,0
81991330,2
81991877,2
81993022,0
81993145,1
81994623,2
81996080,1
82511345,0
82511766,1
82513444,0
82515092,2
82517296,0
82517414,1
82517602,1
82517646,2
82518322,0
82673954,0
82675864,2
82679834,1
82680424,1
82681996,2
82837899,2
82838136,2
82839983,1
82852373,1
83255526,2
83256060,2
83256065,0
83256253,2
83257167,1
83257336,0
83257650,2
83259537,1
83271502,0
83272206,2
84030311,2
84049718,0
84051273,2
84051334,1
84305899,2
84312057,1
84312749,1
84314916,2
84317392,1
84318134,0
84320701,0
