103_5	1
103_6	1
107_2	2
108_2	2
10_5	1
10_7	1
111_4	1
111_5	1
116_0	1
116_17	1
116_3	2
116_5	2
118_0	1
118_1	1
118_9	1
119_11	2
119_2	1
11_1	1
121_10	2
121_12	1
121_15	2
123_11	2
123_14	1
123_9	2
127_2	2
128_11	1
128_12	1
128_2	2
128_9	2
13_1	2
13_6	2
141_4	2
146_2	1
147_15	2
147_7	1
149_10	1
149_13	1
149_7	1
151_3	1
157_0	1
164_15	2
164_4	1
166_10	2
166_12	2
167_3	1
168_6	1
172_0	1
172_3	2
172_5	1
176_6	1
176_7	1
180_2	2
19_1	1
21_13	1
21_14	1
22_7	1
28_6	1
2_7	1
30_0	2
30_1	1
34_3	1
34_4	1
37_4	1
39_1	2
3_9	1
41_3	1
47_3	2
47_9	2
49_2	1
49_9	1
51_10	1
51_17	2
51_18	1
51_19	1
51_3	2
52_12	2
52_25	1
52_6	1
52_9	1
5_12	2
5_16	1
63_3	2
6_13	2
71_4	1
78_0	2
81_3	1
81_5	2
81_8	1
81_9	1
82_0	2
84_5	1
92_0	2
92_1	2
