0	102	1
1	102	0
2	102	0
3	102	1
4	102	1
5	102	0
6	102	0
7	102	0
8	102	0
9	102	1
10	102	0
11	102	1
12	102	1
13	102	1
14	102	0
15	102	0
16	102	0
17	102	0
18	102	1
19	102	1
20	102	1
21	102	1
22	102	0
23	102	1
24	102	1
25	102	0
26	102	1
27	102	1
28	102	0
29	102	0
30	102	0
31	102	0
32	102	1
33	102	1
34	102	1
35	102	0
36	102	1
37	102	0
38	102	1
0	81	1
1	81	0
2	81	0
3	81	0
4	81	0
5	81	1
6	81	0
7	81	0
8	81	1
9	81	1
10	81	1
11	81	0
12	81	1
13	81	1
14	81	1
15	81	1
16	81	1
17	81	1
18	81	0
19	81	0
20	81	0
21	81	1
22	81	1
23	81	1
24	81	1
25	81	1
26	81	0
27	81	0
28	81	1
29	81	0
30	81	1
31	81	1
32	81	0
33	81	0
34	81	0
35	81	0
36	81	0
37	81	0
38	81	1
0	101	1
1	101	1
2	101	0
3	101	1
4	101	0
5	101	1
6	101	1
7	101	1
8	101	1
9	101	0
10	101	0
11	101	1
12	101	1
13	101	0
14	101	1
15	101	0
16	101	0
17	101	1
18	101	1
19	101	0
20	101	1
21	101	0
22	101	0
23	101	0
24	101	0
25	101	1
26	101	0
27	101	0
28	101	0
29	101	0
30	101	1
31	101	0
32	101	1
33	101	1
34	101	1
35	101	0
36	101	0
37	101	0
38	101	1
0	2	0
1	2	1
2	2	0
3	2	0
4	2	1
5	2	0
6	2	0
7	2	0
8	2	1
9	2	1
10	2	1
11	2	0
12	2	0
13	2	0
14	2	1
15	2	0
16	2	0
17	2	0
18	2	1
19	2	1
20	2	1
21	2	0
22	2	1
23	2	1
24	2	0
25	2	0
26	2	1
27	2	0
28	2	1
29	2	1
30	2	1
31	2	0
32	2	1
33	2	0
34	2	1
35	2	1
36	2	0
37	2	0
38	2	0
0	6	0
1	6	0
2	6	1
3	6	1
4	6	1
5	6	0
6	6	0
7	6	0
8	6	1
9	6	0
10	6	0
11	6	1
12	6	1
13	6	0
14	6	0
15	6	1
16	6	0
17	6	0
18	6	1
19	6	0
20	6	0
21	6	1
22	6	1
23	6	1
24	6	0
25	6	0
26	6	1
27	6	0
28	6	0
29	6	1
30	6	1
31	6	0
32	6	0
33	6	0
34	6	1
35	6	0
36	6	0
37	6	0
38	6	0
0	53	0
1	53	0
2	53	0
3	53	0
4	53	0
5	53	1
6	53	0
7	53	1
8	53	1
9	53	1
10	53	0
11	53	1
12	53	0
13	53	0
14	53	0
15	53	0
16	53	0
17	53	0
18	53	0
19	53	1
20	53	1
21	53	0
22	53	0
23	53	1
24	53	1
25	53	0
26	53	0
27	53	0
28	53	0
29	53	0
30	53	1
31	53	0
32	53	0
33	53	1
34	53	0
35	53	0
36	53	1
37	53	1
38	53	0
0	82	1
1	82	0
2	82	1
3	82	1
