A1VW9W0DWXCPYE	444	0
A3NU1SQPI1NXY4	444	0
AKBP92VUQ7G3	444	0
ATQWZNGQCN1RA	444	0
A2V3P1XE33NYC3	444	0
A2UFD1I8ZO1V4G	444	0
AD317NO9623GZ	444	0
A3E157ZN8XPUKJ	444	1
A1BHMDRWW9ZYSO	444	1
A1VW9W0DWXCPYE	225	2
A3NU1SQPI1NXY4	225	2
AKBP92VUQ7G3	225	0
ATQWZNGQCN1RA	225	2
A2V3P1XE33NYC3	225	3
A2UFD1I8ZO1V4G	225	2
AD317NO9623GZ	225	0
A3E157ZN8XPUKJ	225	1
AM2W23THD4CI7	225	0
A1VW9W0DWXCPYE	88	2
A3NU1SQPI1NXY4	88	1
AKBP92VUQ7G3	88	2
ATQWZNGQCN1RA	88	2
A2V3P1XE33NYC3	88	2
A2UFD1I8ZO1V4G	88	2
AD317NO9623GZ	88	2
A1PAR1TMKFPKQE	88	1
A3E157ZN8XPUKJ	88	0
A1VW9W0DWXCPYE	503	3
A3NU1SQPI1NXY4	503	3
AKBP92VUQ7G3	503	1
ATQWZNGQCN1RA	503	3
A2V3P1XE33NYC3	503	3
A2UFD1I8ZO1V4G	503	3
AD317NO9623GZ	503	0
A1PAR1TMKFPKQE	503	3
A3E157ZN8XPUKJ	503	2
A1VW9W0DWXCPYE	394	2
A3NU1SQPI1NXY4	394	0
AKBP92VUQ7G3	394	2
ATQWZNGQCN1RA	394	2
A2V3P1XE33NYC3	394	2
A2UFD1I8ZO1V4G	394	2
AD317NO9623GZ	394	3
A1PAR1TMKFPKQE	394	2
A3E157ZN8XPUKJ	394	3
A1VW9W0DWXCPYE	265	1
A3NU1SQPI1NXY4	265	1
AKBP92VUQ7G3	265	1
ATQWZNGQCN1RA	265	1
A2V3P1XE33NYC3	265	1
A2UFD1I8ZO1V4G	265	1
AD317NO9623GZ	265	1
A1C0Z73809FFDZ	265	2
A1BHMDRWW9ZYSO	265	3
A1VW9W0DWXCPYE	228	0
A3NU1SQPI1NXY4	228	2
AKBP92VUQ7G3	228	0
ATQWZNGQCN1RA	228	0
A2V3P1XE33NYC3	228	0
A2UFD1I8ZO1V4G	228	0
AD317NO9623GZ	228	0
A3E157ZN8XPUKJ	228	1
AM2W23THD4CI7	228	3
A1VW9W0DWXCPYE	407	2
A3NU1SQPI1NXY4	407	2
AKBP92VUQ7G3	407	2
ATQWZNGQCN1RA	407	2
A2H321P1NSEW35	407	3
A2V3P1XE33NYC3	407	2
A2UFD1I8ZO1V4G	407	2
AD317NO9623GZ	407	2
A3E157ZN8XPUKJ	407	3
A1VW9W0DWXCPYE	115	0
A3NU1SQPI1NXY4	115	0
AKBP92VUQ7G3	115	3
ATQWZNGQCN1RA	115	0
A2V3P1XE33NYC3	115	1
A2UFD1I8ZO1V4G	115	0
AD317NO9623GZ	115	1
A1PAR1TMKFPKQE	115	0
A1BHMDRWW9ZYSO	115	1
A1VW9W0DWXCPYE	85	1
A3NU1SQPI1NXY4	85	2
AKBP92VUQ7G3	85	1
ATQWZNGQCN1RA	85	1
A2V3P1XE33NYC3	85	1
A2UFD1I8ZO1V4G	85	3
AD317NO9623GZ	85	1
A1PAR1TMKFPKQE	85	1
A3E157ZN8XPUKJ	85	2
A1VW9W0DWXCPYE	579	3
A3NU1SQPI1NXY4	579	3
AKBP92VUQ7G3	579	3
ATQWZNGQCN1RA	579	3
A2V3P1XE33NYC3	579	0
A2UFD1I8ZO1V4G	579	3
AD317NO9623GZ	579	2
A1PAR1TMKFPKQE	579	3
A2BERTY629PZDT	579	3
A1VW9W0DWXCPYE	422	3
A3NU1SQPI1NXY4	422	3
AKBP92VUQ7G3	422	2
ATQWZNGQCN1RA	422	2
